id,name,github,domain
archwalker,"archwalker","https://github.com/archwalker","机器学习"
ChuanyuXue,"skewcy","https://github.com/ChuanyuXue","机器学习;推荐系统"
Day333,"Day333","https://github.com/Day333","机器学习;CV"
FutureUnreal,"散修","https://github.com/FutureUnreal","机器学习;前端开发"
itcharge,"ITCharge","https://github.com/itcharge","机器学习"
muxiaoxiong,"muxiaoxiong","https://github.com/muxiaoxiong","机器学习"
sanbuphy,"Sanbu","https://github.com/sanbuphy","机器学习"
Skypow2012,"maxmon","https://github.com/Skypow2012","前端开发;机器学习"
SuperSupeng,"Subranium","https://github.com/SuperSupeng","前端开发"
Tsumugii24,"Shufan Jiang","https://github.com/Tsumugii24","机器学习;前端开发"
xin007-kong,"xin007-kong","https://github.com/xin007-kong","机器学习"
YikunHan42,"Yikun Han","https://github.com/YikunHan42","机器学习"
youngfish42,"Yuwen Yang","https://github.com/youngfish42","机器学习;深度学习;前端开发"
