id,name,github,domain,primary_domain,repositories,public_repos,total_stars,followers,following,org_repos_count,org_total_stars,org_total_forks,org_total_contributions,org_avg_stars_per_repo,avatar,bio,location,company
jjyaoao,Sizhou Chen,https://github.com/jjyaoao,框架教程;AI Agent;AI工具;LLM,AI Agent,hello-agents;Agent-Learning-Hub;self-llm;hello-rocm;d2l-ai-solutions-manual;handy-multi-agent;resonant-soul,65,2251,395,29,7,98678,11291,561,14096.86,avatars/jjyaoao.jpg,I am interested in LLM Agent、Audio、Speech.,China,
HeteroCat,,https://github.com/HeteroCat,LLM;AI Agent,AI Agent,hello-agents;Agent-Learning-Hub;hugging-llm,88,25,43,13,3,69118,8451,67,23039.33,avatars/HeteroCat.jpg,,,
JJasonSun,J.Jason,https://github.com/JJasonSun,AI Agent,AI Agent,hello-agents,16,3,12,56,1,61766,7617,22,61766.0,avatars/JJasonSun.jpg,Token is All You Need.,Shanghai,ECNU
fengju0213,Tao Sun,https://github.com/fengju0213,AI Agent,AI Agent,hello-agents;awesome-compression;handy-multi-agent,5,9,87,2,3,62908,7733,32,20969.33,avatars/fengju0213.jpg,Graduate Student @ Hunan University· Intern AI Agent engineer at CAMEL-AI.,Hunan University Changsha,
Tasselszcx,Chenxu Zhang,https://github.com/Tasselszcx,AI Agent,AI Agent,hello-agents,20,27,66,7,1,61766,7617,19,61766.0,avatars/Tasselszcx.jpg,"MSc@Imperial College London, 2025 BEng@Tongji University, China, 2021 Agent Intern @ Momenta %%%%%% Agent Intern @ PKU OpenDCAI",London,Imperial College London
Tsumugii24,Shufan Jiang,https://github.com/Tsumugii24,数据库;深度学习;框架教程;AI工具;计算机视觉;LLM;全栈开发;AI Agent;前端开发,AI工具,hello-agents;self-llm;llms-from-scratch-cn;unlock-deepseek;handy-ollama;d2l-ai-solutions-manual;code-your-own-llm;llm-deploy;handy-multi-agent,45,52,80,37,9,102200,11845,223,11355.56,avatars/Tsumugii24.jpg,"We believe that games like books, movies and music should be celebrated and enjoyed by countless generations！",Shanghai,@eigent-ai
tiansiyuan,Tian Siyuan,https://github.com/tiansiyuan,AI Agent,AI Agent,hello-agents,524,1,83,43,1,61766,7617,10,61766.0,avatars/tiansiyuan.jpg,,Beijing PRC,
thunderbolt-fire,Aojie Zhou,https://github.com/thunderbolt-fire,AI Agent,AI Agent,hello-agents,35,2,26,90,1,61766,7617,7,61766.0,avatars/thunderbolt-fire.jpg,student of Xi'an Jiaotong University@Xi'an Jiaotong University,,Xi'an Jiaotong University
LuoPengcheng12138,罗鹏铖,https://github.com/LuoPengcheng12138,AI Agent;后端开发,AI Agent,hello-agents,17,1,1,0,1,61766,7617,6,61766.0,avatars/LuoPengcheng12138.jpg,Transition from backend development to large language models,"Hangzhou,Zhejiang",Zhejiang University
qingning7,lime_ning,https://github.com/qingning7,AI Agent;前端开发,AI Agent,hello-agents,18,8,8,8,1,61766,7617,6,61766.0,avatars/qingning7.jpg,,,
sunpcm,sunpcm,https://github.com/sunpcm,AI Agent,AI Agent,hello-agents,158,14,33,111,1,61766,7617,6,61766.0,avatars/sunpcm.jpg,以前弱菜物理狗 现在辣鸡程序猿,上海,
weijia99,weijia cheng,https://github.com/weijia99,AI Agent,AI Agent,hello-agents,126,13,8,14,1,61766,7617,6,61766.0,avatars/weijia99.jpg,graduate student of nanchang university,,nanchang university
XiaoMa-PM,Anatole:-P,https://github.com/XiaoMa-PM,AI Agent,AI Agent,hello-agents;self-harness,11,2,8,3,2,61932,7643,7,30966.0,avatars/XiaoMa-PM.jpg,,,
Tangent-90C,tan90º,https://github.com/Tangent-90C,LLM;AI Agent;AI工具;RAG,AI Agent,hello-agents;so-large-lm;llms-from-scratch-cn;hello-rocm;unlock-deepseek;agent-tutorial;wow-agent;wow-rag,58,40,29,38,8,75112,9001,69,9389.0,avatars/Tangent-90C.jpg,,广州,广州大学
jack6249,,https://github.com/jack6249,AI Agent,AI Agent,hello-agents,4,2,0,0,1,61766,7617,5,61766.0,avatars/jack6249.jpg,,,
YYHDBL,Yihui You,https://github.com/YYHDBL,AI Agent,AI Agent,hello-agents,9,254,23,10,1,61766,7617,4,61766.0,avatars/YYHDBL.jpg,,,
nameless0120,,https://github.com/nameless0120,AI Agent,AI Agent,hello-agents;ai-skills-for-everyone,6,86,12,16,2,61825,7625,29,30912.5,avatars/nameless0120.jpg,懒是第一生产力。正在把 AI Skills 变成普通人也能用的工具。,,
CC1227871,KKLFF,https://github.com/CC1227871,AI Agent,AI Agent,hello-agents,3,1,0,0,1,61766,7617,4,61766.0,avatars/CC1227871.jpg,,Guangzhou，China,
pamdla,PAMD.LA,https://github.com/pamdla,AI Agent,AI Agent,hello-agents,51,2,12,48,1,61766,7617,3,61766.0,avatars/pamdla.jpg,"Physics, Algorithm, Mathematics, Data, Logic, Analytic","London, United Kingdom",
czxgg0630,,https://github.com/czxgg0630,AI Agent,AI Agent,hello-agents,6,2,0,0,1,61766,7617,3,61766.0,avatars/czxgg0630.jpg,,,
fancyboi999,Xinmin Zeng,https://github.com/fancyboi999,多模态;深度学习;机器学习;RAG;AI工具;计算机视觉;NLP;LLM;强化学习;AI Agent;前端开发,AI Agent,hello-agents;self-llm;hello-claw;easy-langent;vibe-blog;handy-ollama;hugging-llm,54,985,418,8,7,101086,11686,13,14440.86,avatars/fancyboi999.jpg,"Building smarter agents, breaking dumb limits. Focused on AI / AGENTS/ RAG 📧 fancyboi999@gmail.com 🧠 fancyboi999 (WeChat)",,
gmXian,贤冠萌,https://github.com/gmXian,AI Agent,AI Agent,hello-agents,11,2,6,12,1,61766,7617,3,61766.0,avatars/gmXian.jpg,Sichuan University/major in Electronic Information.,"Chengdu,CHINA",Sichuan University
haoye2,,https://github.com/haoye2,AI Agent,AI Agent,hello-agents,15,2,0,0,1,61766,7617,3,61766.0,avatars/haoye2.jpg,,,
unseenme,,https://github.com/unseenme,AI Agent,AI Agent,hello-agents,32,7,5,3,1,61766,7617,3,61766.0,avatars/unseenme.jpg,,,
1zrj,,https://github.com/1zrj,AI Agent,AI Agent,hello-agents,30,11,14,3,1,61766,7617,3,61766.0,avatars/1zrj.jpg,,,
haokun-dev,Chen Haokun,https://github.com/haokun-dev,AI Agent,AI Agent,hello-agents,14,5,2,4,1,61766,7617,2,61766.0,avatars/haokun-dev.jpg,a student in Shanghai Dianji University University.,Shanghai Dianji University,Shanghai Dianji University
vinci-grape,Xin Yin,https://github.com/vinci-grape,AI Agent,AI Agent,hello-agents,19,75,15,3,1,61766,7617,2,61766.0,avatars/vinci-grape.jpg,"Researcher by morning, Resurrect-er by night, Menu-searcher by noon.",Hangzhou,Zhejiang University
1985312383,柯慕灵,https://github.com/1985312383,医学影像;RAG;面试求职;推荐系统;LLM;AI Agent,推荐系统,hello-agents;happy-llm;daily-interview;all-in-rag;easy-langent;hello-rocm;easy-vecdb;members-visualization;med-imaging-primer;torch-rechub,42,199,51,16,10,108104,15864,625,10810.4,avatars/1985312383.jpg,写前烧香拜两拜，机魂大悦无bug,"Shanghai,China",ShanghaiTech University
zzzpppy,,https://github.com/zzzpppy,AI Agent,AI Agent,hello-agents,56,6,1,6,1,61766,7617,2,61766.0,avatars/zzzpppy.jpg,,,
lyxx2535,Liu Yuexiao,https://github.com/lyxx2535,AI Agent,AI Agent,hello-agents,25,14,7,27,1,61766,7617,2,61766.0,avatars/lyxx2535.jpg,,Shenzhen,Tsinghua University
lh2021739-pixel,,https://github.com/lh2021739-pixel,AI Agent,AI Agent,hello-agents,2,1,0,1,1,61766,7617,2,61766.0,avatars/lh2021739-pixel.jpg,,,
Dear47,Daisuki,https://github.com/Dear47,AI Agent,AI Agent,hello-agents,10,9,2,3,1,61766,7617,2,61766.0,avatars/Dear47.jpg,,,
wensname,Pang Bowen,https://github.com/wensname,AI Agent,AI Agent,hello-agents,6,0,1,2,1,61766,7617,2,61766.0,avatars/wensname.jpg,,,
Shawnxyxy,,https://github.com/Shawnxyxy,AI Agent,AI Agent,hello-agents,4,0,1,1,1,61766,7617,2,61766.0,avatars/Shawnxyxy.jpg,,,
yzy-fulture,Future_Y,https://github.com/yzy-fulture,AI Agent,AI Agent,hello-agents;aima-notes,8,0,1,0,2,61836,7625,7,30918.0,avatars/yzy-fulture.jpg,,,
DeepJH,DeepJH,https://github.com/DeepJH,AI Agent,AI Agent,hello-agents,17,33,9,21,1,61766,7617,2,61766.0,avatars/DeepJH.jpg,一个编程菜鸟 a noob,Earth,
AstrumPush,AstrumPush,https://github.com/AstrumPush,AI Agent,AI Agent,hello-agents,8,66,1,1,1,61766,7617,2,61766.0,avatars/AstrumPush.jpg,,,
Angelenx,Angelen,https://github.com/Angelenx,AI Agent,AI Agent,hello-agents,37,2,2,5,1,61766,7617,1,61766.0,avatars/Angelenx.jpg,"Graduated from University of Jinan, majoring in Artificial Intelligence. Now working as an IT Engineer developing AI-related applications.","No. 336, West Road of Nan Xinzhuang, Jinan 250022, Shandong, China",
bichchibui5-hub,,https://github.com/bichchibui5-hub,AI Agent,AI Agent,hello-agents,1,0,0,1,1,61766,7617,1,61766.0,avatars/bichchibui5-hub.jpg,,,
healer-666,Cooper,https://github.com/healer-666,AI Agent,AI Agent,hello-agents,7,49,2,4,1,61766,7617,1,61766.0,avatars/healer-666.jpg,,Qingdao Shandong,OUC
